title,url,raw_date,published_at,language,summary,image_url,category,source,player_name,from_club,to_club,transfer_fee,status,sentiment,external_key,league,national_team,fee_numeric
Papers: Romero open to joining Arsenal but Spurs resist,https://www.skysports.com/football/news/12040/13571259/cristian-romero-open-to-joining-arsenal-but-tottenham-adamant-their-defender-will-not-cross-the-north-london-divide-paper-talk,"Sat, 08 Aug 2026 23:15:00 BST",2026-08-08T23:56:00.724088,en,The top stories and transfer rumours from Sunday's newspapers...,https://e0.365dm.com/26/07/1920x1080/skysports-paper-talk-sky-sports-news_7311195.png?20260731134338,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,Arsenal,Tottenham,Non communiqué,RUMEUR 📰,Bullish,papersromeroopentojoiningarsenalbutspursresist,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Wissa double gives Newcastle boss Jaissle winning start at 10-man Valencia,https://www.skysports.com/football/news/12040/13571236/valencia-1-2-newcastle-yoane-wissas-double-gives-matthias-jaissle-winning-start-as-anthony-elanga-stretchered-off,"Sat, 08 Aug 2026 22:26:00 BST",2026-08-08T23:56:00.724546,en,Substitute Yoane Wissa scored twice to give Matthias Jaissle a winning start as Newcastle boss with a 2-1 comeback pre-season win at 10-man Valencia.,https://e0.365dm.com/26/08/1920x1080/skysports-wissa-valencia-yoane_7317227.jpg?20260808221634,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,Newcastle,Valence CF,Non communiqué,RUMEUR 📰,Neutre,wissadoublegivesnewcastlebossjaisslewinningstartat10manvalen,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Wolves overwhelm Bradford in emphatic away victory,https://www.skysports.com/watch/video/13571231/bradford-bulls-4-42-warrington-wolves-super-league-highlights,"Sun, 09 Aug 2026 00:00:00 BST",2026-08-08T23:56:00.724931,en,Highlights of the Super League clash between Bradford Bulls and Warrington Wolves as Matty Ashton scored twice in a dominant 42-4 victory for the visitors.,https://e2.365dm.com/26/08/1920x1080/skysports-wolves-bradford_7317178.jpg?20260808210836,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,,Wolverhampton,Non communiqué,RUMEUR 📰,Neutre,wolvesoverwhelmbradfordinemphaticawayvictory,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Wigan overpower Toulouse to close gap on leaders,https://www.skysports.com/watch/video/13571216/wigan-warriors-48-18-toulouse-olympique-super-league-highlights,"Sun, 09 Aug 2026 00:00:00 BST",2026-08-08T23:56:00.725258,en,Highlights of the Super League clash between Wigan Warriors and Toulouse Olympique.,https://e2.365dm.com/26/08/1920x1080/skysports-wigan-toulouse_7317173.jpg?20260808210421,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,,Toulouse FC,Non communiqué,RUMEUR 📰,Neutre,wiganoverpowertoulousetoclosegaponleaders,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
'Good signs' for Man Utd as Mbeumo scores in encouraging draw with PSG,https://www.skysports.com/football/paris-saint-germain-vs-manchester-united/report/555766,"Sat, 08 Aug 2026 18:00:00 BST",2026-08-08T23:56:00.726189,en,"Bryan Mbeumo earned Man Utd a 1-1 draw with Paris St-Germain in Gothenburg, a pre-season friendly which left boss Michael Carrick encouraged by the ""good signs"" from his side.",https://e0.365dm.com/26/08/1920x1080/skysports-mbeumo-united-manchester_7316888.jpg?20260808164039,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,Manchester United,PSG,Non communiqué,RUMEUR 📰,Neutre,goodsignsformanutdasmbeumoscoresinencouragingdrawwithpsg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Wissa's double gives Newcastle's Jaissle winning start at 10-man Valencia LIVE!,https://www.skysports.com/football/valencia-vs-newcastle-united/live/568647,"Sat, 08 Aug 2026 19:01:00 BST",2026-08-08T23:56:00.726937,en,Wissa's double gives Newcastle's Jaissle winning start at 10-man Valencia LIVE!,https://e0.365dm.com/26/08/1920x1080/skysports-nick-woltemade-newcastle_7317152.jpg?20260808203322,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,Newcastle,Valence CF,Non communiqué,RUMEUR 📰,Neutre,wissasdoublegivesnewcastlesjaisslewinningstartat10manvalenci,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Huddersfield Giants to leave home for Dewsbury amid major investment,https://www.skysports.com/rugby-league/news/12040/13570935/huddersfield-giants-moving-to-dewsbury-super-league-side-switching-home-from-2027-season-onwards,"Sat, 08 Aug 2026 15:09:00 BST",2026-08-08T23:56:00.727774,en,Betfred Super League side Huddersfield Giants have announced they are to leave the town and move to Dewsbury for the 2027 season onwards.,https://e2.365dm.com/26/08/1920x1080/skysports-huddersfield-giants_7316663.jpg?20260808132210,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Huddersfield Giants,,,Non communiqué,RUMEUR 📰,Neutre,huddersfieldgiantstoleavehomefordewsburyamidmajorinvestment,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
"Burnley edge win on penalties, West Ham through in Carabao Cup first round",https://www.skysports.com/football/news/12040/13570969/carabao-cup-burnley-edge-win-on-penalties-west-ham-norwich-watford-through,"Sat, 08 Aug 2026 17:05:00 BST",2026-08-08T23:56:00.729219,en,Kyle Walker struck the winning penalty as Burnley edged out Notts County 4-3 in a shoot-out to reach the Carabao Cup second round after a 1-1 draw at Turf Moor.,https://e2.365dm.com/26/08/1920x1080/skysports-burnley-kyle-walker_7317041.jpg?20260808182011,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,,West Ham,Non communiqué,RUMEUR 📰,Neutre,burnleyedgewinonpenaltieswesthamthroughincarabaocupfirstroun,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
"Mercato: ""Je pense que la situation est claire"": Diego Simeone répète que Julian Alvarez n'est pas à vendre",https://rmcsport.bfmtv.com/football/transferts/mercato-je-pense-que-la-situation-est-claire-diego-simeone-repete-que-julian-alvarez-n-est-pas-a-vendre_AV-202608080197.html,"Sat, 08 Aug 2026 14:19:23 GMT",2026-08-08T23:56:00.723048,fr,"En marge d'un match de présaison face à Manchester City à Séoul (Corée du Sud), l'entraîneur de l'Atlético de Madrid, Diego Simeone, a clarifié une fois de plus la position du club sur Julian Alvarez. Même s'il est courtisé par les plus grosses écuries d'Europe, notamment le FC Barcelone, l'attaquant argentin ne partira pas.",https://io-fsly-bfmtv.cdn.nextradiotv.com/QPbf2d_JuxmkzB9JzjvGIkFqml4=/0x106:2048x1258/800x0/images/Julian-Alvarez-lors-d-Atletico-Barca-en-quart-de-finale-retour-de-Ligue-des-champions-le-14-avril-2026-2309374.jpg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,RMC Sport Mercato,Julian Alvarez,Atlético de Madrid,Manchester City,Non communiqué,RUMEUR 📰,Neutre,mercatojepensequelasituationestclairediegosimeonerépètequeju,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Argentine 🇦🇷,0.0
"Mercato: tout juste parti de Bordeaux, Rio Mavuba devrait rebondir à Lille",https://rmcsport.bfmtv.com/football/transferts/mercato-tout-juste-parti-de-bordeaux-rio-mavuba-devrait-rebondir-a-lille_AV-202608080175.html,"Sat, 08 Aug 2026 12:38:09 GMT",2026-08-08T23:56:00.729764,fr,"Selon les informations de Foot Amateur et Sud Ouest, Rio Mavuba est sur le point de rejoindre le Lille après avoir quitté son poste d'entraîneur principal des Girondins de Bordeaux, ce jeudi 6 août.",https://io-fsly-bfmtv.cdn.nextradiotv.com/DAz-u3nG8KL-Nd_YdJ9dsfyHUhs=/0x39:2048x1191/800x0/images/Rio-Mavuba-sur-le-banc-de-Bordeaux-le-11-avril-2026-2330168.jpg,Ligue 1 🇫🇷,RMC Sport Mercato,Rio Mavuba,,LOSC Lille,Non communiqué,RUMEUR 📰,Neutre,mercatotoutjustepartidebordeauxriomavubadevraitrebondiràlill,Ligue 1 🇫🇷,International 🌍,0.0
DIRECT. Mercato: Arsenal signe Bruno Guimaraes pour un montant XXL,https://rmcsport.bfmtv.com/football/transferts/direct-mercato-toutes-les-infos-et-rumeurs-de-transfert-du-6-aout-2026-en-live_LN-202608060092.html,"Sat, 08 Aug 2026 11:56:53 GMT",2026-08-08T23:56:00.730937,fr,"Si les clubs européens préparent toujours la reprise des championnats et le début de la saison 2026-2027, le mercato estival bat son plein. Plusieurs gros dossiers sont toujours actifs et prennent des allures de feuilletons. Du probable transfert de Yan Diomandé au Real Madrid à l'avenir des cracks Barcola et Mbaye au PSG, les cadors s'agitent et de gros mouvements pourraient bientôt se décanter. ",https://io-fsly-bfmtv.cdn.nextradiotv.com/wqdddBcNZYVHOjbPkGADw99fYzE=/0x0:2048x1152/800x0/images/Bruno-Guimaraes-milieu-de-terrain-du-Bresil-lors-de-la-Coupe-du-monde-29-juin-2026-2329023.jpg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,RMC Sport Mercato,Ousmane Diomande,Real Madrid,Arsenal,Non communiqué,OFFICIEL ✅,Bullish,directmercatoarsenalsignebrunoguimaraespourunmontantxxl,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Côte d'Ivoire 🇨🇮,0.0
"Ferran Torres, Hojbjerg, Paredes… les 5 infos mercato du 8 août à midi",https://rmcsport.bfmtv.com/football/transferts/video-ferran-torres-hojbjerg-paredes-les-5-infos-mercato-du-8-aout-a-midi_VN-202608080151.html,"Sat, 08 Aug 2026 10:45:34 GMT",2026-08-08T23:56:00.732239,fr,"Ferran Torres veut rejoindre le PSG, Hojbjerg est surveillé en Angleterre, Paredes pourrait revenir en Europe et Araujo sur le départ du Barça… les 5 infos mercato du 8 août à midi.",https://io-fsly-bfmtv.cdn.nextradiotv.com/C9M4nBe0y6dIAqrHvkCEBlVhQAA=/0x0:1280x720/800x0/images/Ferran-Torres-Hojbjerg-Paredes-les-5-infos-mercato-du-8-aout-a-midi-2330160.jpg,Ligue 1 🇫🇷,RMC Sport Mercato,Pierre-Emile Højbjerg,PSG,FC Barcelone,Non communiqué,RUMEUR 📰,Neutre,ferrantorreshojbjergparedesles5infosmercatodu8aoûtàmidi,Ligue 1 🇫🇷,Danemark 🇩🇰,0.0
Mercato: Ronald Araujo fonce en prêt à Liverpool après avoir prolongé avec Barcelone la saison dernière,https://rmcsport.bfmtv.com/football/transferts/mercato-ronald-araujo-fonce-en-pret-a-liverpool-apres-avoir-prolonge-avec-barcelone-la-saison-derniere_AV-202608080069.html,"Sat, 08 Aug 2026 06:15:08 GMT",2026-08-08T23:56:00.732687,fr,"Alors qu'il est lié au FC Barcelone jusqu'en 2031 après avoir prolongé son contrat la saison dernière, Ronald Araujo, encore exclu des plans de Hansi Flick, est envoyé en prêt à Liverpool, avec une option d'achat facultative.",https://io-fsly-bfmtv.cdn.nextradiotv.com/lhvCprii3_6mZCtNvDXTTAin44I=/0x23:2016x1157/800x0/images/Ronald-Araujo-2011418.jpg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,RMC Sport Mercato,Ronald Araújo,FC Barcelone,FC Barcelone,prêt,RUMEUR 📰,Neutre,mercatoronaldaraujofonceenprêtàliverpoolaprèsavoirprolongéav,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Uruguay 🇺🇾,0.0
Mercato: un nouveau cadre de l'OM sur le départ? Newcastle se renseigne sur Pierre-Emile Hojbjerg,https://rmcsport.bfmtv.com/football/transferts/mercato-un-nouveau-cadre-de-l-om-sur-le-depart-newcastle-se-renseigne-sur-pierre-emile-hojbjerg_AP-202608070495.html,"Fri, 07 Aug 2026 21:38:42 GMT",2026-08-08T23:56:00.733144,fr,"La presse anglaise rapporte que Pierre-Emile Hojbjerg fait partie des joueurs ciblés au milieu du terrain par Newcastle pour remplacer Bruno Guimaraes et Sandro Tonali. Le Danois connaît bien la Premier League, lui qui a évolué sous les couleurs de Southampton (2016-2020) et Tottenham (2020-2024).",https://io-fsly-bfmtv.cdn.nextradiotv.com/Gd3m007AnoKzed6XjcHd0g1-Yls=/0x185:1904x1256/800x0/images/Pierre-Emile-Hojbjerg-avec-l-OM-le-5-novembre-2025-2177683.jpg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,RMC Sport Mercato,Pierre-Emile Højbjerg,Newcastle,Tottenham,Non communiqué,RUMEUR 📰,Neutre,mercatounnouveaucadredelomsurledépartnewcastleserenseignesur,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Danemark 🇩🇰,0.0
"Vinicius, Akliouche, Rodri... Les 5 infos mercato du 7 août à 12 h.",https://rmcsport.bfmtv.com/football/transferts/video-vinicius-akliouche-rodri-les-5-infos-mercato-du-7-aout-a-12-h_VN-202608070284.html,"Fri, 07 Aug 2026 10:00:32 GMT",2026-08-08T23:56:00.733548,fr,"Vinicius prolongé, Akliouche officialisé, Rodri en discussions avec le Barça, Enzo Fernández pour le remplacer... Découvrez les 5 infos mercato du 7 août à 12 h.",https://io-fsly-bfmtv.cdn.nextradiotv.com/_hvQGTtRVZ6aFV-hvsbJwd8UI6I=/0x0:1280x720/800x0/images/Vinicius-Akliouche-Rodri-Les-5-infos-mercato-du-7-aout-a-12-h-2329917.jpg,Ligue 1 🇫🇷,RMC Sport Mercato,Enzo Fernández,Chelsea,FC Barcelone,Non communiqué,RUMEUR 📰,Neutre,viniciusaklioucherodriles5infosmercatodu7aoûtà12h,Ligue 1 🇫🇷,Argentine 🇦🇷,0.0
"Mercato: ""Coup de froid"", ""arrière-goût amer""... le transfert avorté de Rodri au Real Madrid agite la presse espagnole",https://rmcsport.bfmtv.com/football/transferts/mercato-coup-de-froid-arriere-gout-amer-le-transfert-avorte-de-rodri-au-real-madrid-agite-la-presse-espagnole_AV-202608070246.html,"Fri, 07 Aug 2026 08:59:53 GMT",2026-08-08T23:56:00.734057,fr,"Les supporters du Real Madrid ont connu jeudi les montages russes en termes d’émotions avec la signature de Yan Diomandé, la prolongation de Vinicius et le transfert avorté de Rodri, qui préfère signer au Barça, le grand rival. De quoi alimenter la presse espagnole.",https://io-fsly-bfmtv.cdn.nextradiotv.com/36XkzCxANXEStc9rUm6WZDIT8y0=/0x106:2048x1258/800x0/images/Rodri-a-recu-le-trophee-du-meilleur-joueur-de-la-Coupe-du-monde-2026-remportee-par-l-Espagne-le-19-juillet-2026-2329852.jpg,La Liga 🇪🇸,RMC Sport Mercato,Ousmane Diomande,Real Madrid,FC Barcelone,Non communiqué,RUMEUR 📰,Bullish,mercatocoupdefroidarrièregoûtamerletransfertavortéderodriaur,La Liga 🇪🇸,Côte d'Ivoire 🇨🇮,0.0
"Mercato : ""C'est un honneur de rejoindre le Paris Saint-Germain."" Les premiers mots de Maghnes Akliouche après sa signature",https://rmcsport.bfmtv.com/football/transferts/video-mercato-c-est-un-honneur-de-rejoindre-le-paris-saint-germain-les-premiers-mots-de-maghnes-akliouche-apres-sa-signature_VN-202608070131.html,"Fri, 07 Aug 2026 06:17:58 GMT",2026-08-08T23:56:00.734732,fr,"Maghnes Akliouche est un Parisien ! L'ancien Monégasque et international français, âgé de 24 ans, s'est engagé avec le club de la capitale pour 5 ans, jusqu'en 2031, après un transfert évalué à 50 millions d'euros. Il portera le numéro 11 au sein de la formation de Luis Enrique.",https://io-fsly-bfmtv.cdn.nextradiotv.com/FN-vXOlg65pG0CEvSTnMidvgeIA=/0x0:1280x720/800x0/images/Mercato-C-est-un-honneur-de-rejoindre-le-Paris-Saint-Germain-Les-premiers-mots-de-Maghnes-Akliouche-apres-sa-signature-2329779.jpg,Ligue 1 🇫🇷,RMC Sport Mercato,Luis Enrique,PSG,,50 millions,RUMEUR 📰,Neutre,mercatocestunhonneurderejoindreleparissaintgermainlespremier,Ligue 1 🇫🇷,Espagne 🇪🇸,50.0
"Monaco: ""On veut le remplacer"", Filipe Luis estime que le départ d'Akliouche est ""une grande perte""",https://rmcsport.bfmtv.com/football/transferts/monaco-on-veut-le-remplacer-filipe-luis-estime-que-le-depart-d-akliouche-est-une-grande-perte_AV-202608070038.html,"Fri, 07 Aug 2026 04:17:12 GMT",2026-08-08T23:56:00.735987,fr,"Dans la foulée de la victoire de l'AS Monaco face à Getafe (1-0) en amical ce jeudi, FIlipe Luis est revenu sur le départ officialisé de Maghnes Akliouche, une ""grande perte"" pour le club.",https://io-fsly-bfmtv.cdn.nextradiotv.com/tpcycDnfKnOZNlbU9ia8QBJ6fKw=/0x0:2048x1152/800x0/images/Maghnes-Akliouche-au-MetLife-Stadium-le-14-juillet-2026-a-New-York-2329643.jpg,Ligue 1 🇫🇷,RMC Sport Mercato,Filipe Luis,,AS Monaco,Non communiqué,RUMEUR 📰,Neutre,monacoonveutleremplacerfilipeluisestimequeledépartdakliouche,Ligue 1 🇫🇷,International 🌍,0.0
Mercato: Malo Gusto vers un départ de Chelsea cet été ?,https://rmcsport.bfmtv.com/football/transferts/mercato-malo-gusto-vers-un-depart-de-chelsea-cet-ete_AN-202608060534.html,"Thu, 06 Aug 2026 20:20:04 GMT",2026-08-08T23:56:00.736867,fr,L'arrière droit français Malo Gusto pourrait voir son avenir s'écrire ailleurs qu'à Chelsea. La concurrence s'annonce rude et le club londonien pourrait ouvrir à l'ancien Lyonnais la porte d'un départ au mercato d'été. Mais le prix fixé est très élevé.,https://io-fsly-bfmtv.cdn.nextradiotv.com/uu9wYcCDlGKdJbxD18iZryxsX7c=/0x64:2048x1216/800x0/images/Le-joueur-de-Chelsea-Malo-Gusto-lors-de-la-finale-de-la-FA-Cup-le-16-mai-2026-2329684.jpg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,RMC Sport Mercato,Malo Gusto,,Chelsea,Non communiqué,RUMEUR 📰,Neutre,mercatomalogustoversundépartdechelseacetété,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
"Mercato: fin du suspense, Vinicius Jr prolonge au Real Madrid jusqu'en 2032 avec un contrat XXL",https://rmcsport.bfmtv.com/football/transferts/mercato-fin-du-suspense-vinicius-jr-prolonge-au-real-madrid-jusqu-en-2032-avec-un-contrat-xxl_AV-202608060505.html,"Thu, 06 Aug 2026 18:41:51 GMT",2026-08-08T23:56:00.737736,fr,"Courtisé tout au long de l'été et annoncé dans le viseur d'Arsenal, Vinicius Jr a officiellement prolongé son contrat avec le Real Madrid jusqu'au 30 juin 2032 avec une belle revalorisation salariale.",https://io-fsly-bfmtv.cdn.nextradiotv.com/DSwyRZ5cGsKLIwLhbQzOV_FjUOY=/0x38:2048x1190/800x0/images/Le-Bresilien-Vinicius-Jr-lors-d-un-match-du-Real-Madrid-en-Liga-le-14-mai-2026-2329325.jpg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,RMC Sport Mercato,Vinicius Jr,Real Madrid,Real Madrid,Non communiqué,OFFICIEL ✅,Neutre,mercatofindususpenseviniciusjrprolongeaurealmadridjusquen203,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Brésil 🇧🇷,0.0
"Mercato: vers une nouvelle vente à l'OM, Facundo Medina en route vers le Bayer Leverkusen",https://rmcsport.bfmtv.com/football/transferts/mercato-vers-une-nouvelle-vente-a-l-om-facundo-medina-en-route-vers-le-bayer-leverkusen_AV-202608060486.html,"Thu, 06 Aug 2026 17:35:46 GMT",2026-08-08T23:56:00.738371,fr,Le défenseur argentin de l'Olympique de Marseille va quitter le sud de la France pour rejoindre le Bayer Leverkusen. Toutes les parties ont trouvé un accord selon des informations de L'Equipe confirmées par RMC Sport. Les Phocéens devraient hériter d'un chèque de 25 millions d'euros bonus inclus.,https://io-fsly-bfmtv.cdn.nextradiotv.com/XG_SxQGFT-ZV6q46RIjlxg3GPbk=/0x154:2048x1306/800x0/images/Facundo-Medina-le-10-avril-2026-2274543.jpg,Ligue 1 🇫🇷,RMC Sport Mercato,Facundo Medina,Bayer Leverkusen,Olympique de Marseille,25 millions,RUMEUR 📰,Bullish,mercatoversunenouvelleventeàlomfacundomedinaenrouteverslebay,Ligue 1 🇫🇷,International 🌍,25.0
"Mercato: Maghnes Akliouche au PSG, c'est officiel, Paris tient sa première grosse recrue de l'été",https://rmcsport.bfmtv.com/football/transferts/mercato-maghnes-akliouche-au-psg-c-est-officilel-paris-tient-sa-premiere-grosse-recrue-de-l-ete_AV-202608060474.html,"Thu, 06 Aug 2026 17:11:49 GMT",2026-08-08T23:56:00.738986,fr,"Peu de temps avant le premier match officiel de la saison du PSG, le club de la capitale enregistre son premier gros renfort de l'été avec l'arrivée de l'ex-Monégasque Maghnes Akliouche. Après sa visite médicale réussie, il a signé jeudi un contrat de cinq ans avant de s'entraîner avec ses nouveaux coéquipiers dès ce vendredi.",https://io-fsly-bfmtv.cdn.nextradiotv.com/tpcycDnfKnOZNlbU9ia8QBJ6fKw=/0x0:2048x1152/800x0/images/Maghnes-Akliouche-au-MetLife-Stadium-le-14-juillet-2026-a-New-York-2329643.jpg,Ligue 1 🇫🇷,RMC Sport Mercato,Maghnes Akliouche,,PSG,Non communiqué,OFFICIEL ✅,Neutre,mercatomaghnesaklioucheaupsgcestofficielparistientsapremière,Ligue 1 🇫🇷,International 🌍,0.0
Diomandé détrône Bellingham comme transfert le plus cher du Real Madrid,https://rmcsport.bfmtv.com/football/transferts/video-diomande-detrone-bellingham-comme-transfert-le-plus-cher-du-real-madrid_VN-202608060389.html,"Thu, 06 Aug 2026 15:04:57 GMT",2026-08-08T23:56:00.739546,fr,"L'ailier de 19 ans, qui ne compte que 60 matches en pro, quitte Leipzig pour le Real Madrid contre 140 millions d'euros. Le record du club espagnol.",https://io-fsly-bfmtv.cdn.nextradiotv.com/aiLwKRByD4AVDSgQi8rePyckgKw=/0x0:1280x720/800x0/images/Diomande-detrone-Bellingham-comme-transfert-le-plus-cher-du-Real-Madrid-2329570.jpg,La Liga 🇪🇸,RMC Sport Mercato,Ousmane Diomande,Real Madrid,RB Leipzig,140 millions,RUMEUR 📰,Bullish,diomandédétrônebellinghamcommetransfertlepluscherdurealmadri,La Liga 🇪🇸,Côte d'Ivoire 🇨🇮,140.0
Diomandé rejoint le Real Madrid et devient la recrue la plus chère de l'histoire du club,https://rmcsport.bfmtv.com/football/transferts/video-diomande-rejoint-le-real-madrid-et-devient-la-recrue-la-plus-chere-de-l-histoire-du-club_VN-202608060365.html,"Thu, 06 Aug 2026 14:11:03 GMT",2026-08-08T23:56:00.740119,fr,"Un transfert à 140 millions d'euros, plus cher que Bellingham et Hazard. L'Ivoirien quitte Leipzig et devient aussi la 5e recrue la plus chère de l'histoire.",https://io-fsly-bfmtv.cdn.nextradiotv.com/3nTjr2mH10_JB6AIz73eZb8gNuc=/0x0:1280x720/800x0/images/Diomande-rejoint-le-Real-Madrid-et-devient-la-recrue-la-plus-chere-de-l-histoire-du-club-2329546.jpg,La Liga 🇪🇸,RMC Sport Mercato,Ousmane Diomande,Real Madrid,RB Leipzig,140 millions,RUMEUR 📰,Neutre,diomandérejointlerealmadridetdevientlarecruelapluschèredelhi,La Liga 🇪🇸,Côte d'Ivoire 🇨🇮,140.0
Mercato: Rodri préfère le Barça au Real,https://rmcsport.bfmtv.com/football/transferts/mercato-rodri-prefere-le-barca-au-real_AV-202608060348.html,"Thu, 06 Aug 2026 13:36:57 GMT",2026-08-08T23:56:00.740846,fr,"Alors que son nom circulait surtout du côté du Real Madrid ces dernières semaines, Rodri a finalement choisi le Barça. Le club catalan est entré dans la course pour le milieu de terrain espagnol, tout juste sacré champion du monde avec l'Espagne. Manchester City pourrait accepter de le laisser partir si une offre convient.",https://io-fsly-bfmtv.cdn.nextradiotv.com/hq3P44NSkNxxEEgn0odMsWuDBak=/0x134:2048x1286/800x0/images/Rodri-capitaine-de-l-Espagne-a-la-Coupe-du-monde-14-juillet-2026-2329502.jpg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,RMC Sport Mercato,Rodri,FC Barcelone,Real Madrid,Non communiqué,RUMEUR 📰,Neutre,mercatorodripréfèrelebarçaaureal,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Espagne 🇪🇸,0.0
Real Madrid: l'avenir de Vinicius enfin tranché après l'offre de la dernière chance,https://rmcsport.bfmtv.com/football/transferts/real-madrid-l-avenir-de-vinicius-enfin-tranche-apres-l-offre-de-la-derniere-chance_AV-202608060320.html,"Thu, 06 Aug 2026 12:13:27 GMT",2026-08-08T23:56:00.741648,fr,"Les négociations entre le Real Madrid et Vinicius Jr pourraient rapidement déboucher sur un nouveau contrat de l'ailier brésilien. Longtemps annoncée sur le départ lors du mercato estival, la star madrilène serait proche d'accepter la dernière offre de prolongation du club merengue.",https://io-fsly-bfmtv.cdn.nextradiotv.com/DSwyRZ5cGsKLIwLhbQzOV_FjUOY=/0x38:2048x1190/800x0/images/Le-Bresilien-Vinicius-Jr-lors-d-un-match-du-Real-Madrid-en-Liga-le-14-mai-2026-2329325.jpg,La Liga 🇪🇸,RMC Sport Mercato,Vinicius Jr,Real Madrid,,Non communiqué,NEGOCIATION 💬,Bullish,realmadridlavenirdeviniciusenfintranchéaprèsloffredeladerniè,La Liga 🇪🇸,Brésil 🇧🇷,0.0
La fin d'un des feuilletons du mercato: Yan Diomandé est bien en route pour le Real Madrid,https://rmcsport.bfmtv.com/football/transferts/la-fin-d-un-des-feuilletons-du-mercato-yan-diomande-est-bien-en-route-pour-le-real-madrid_AV-202608060303.html,"Thu, 06 Aug 2026 11:21:22 GMT",2026-08-08T23:56:00.742351,fr,"Après plusieurs jours de négociations et de spéculations autour d'un problème de représentants, Yan Diomandé semble enfin se diriger vers le Real Madrid. Ce jeudi, l'attaquant du RB Leipzig a été autorisé à rejoindre la capitale espagnole pour passer sa visite médicale. Le deal devrait atteindre 140 millions d'euros bonus inclus.",https://io-fsly-bfmtv.cdn.nextradiotv.com/A0-G9tCNbyd0BLewK3wTtt3GahA=/0x127:2048x1279/800x0/images/Yan-Diomande-lors-du-match-Leipzig-Hoffenheim-5-0-Bundesliga-le-20-mars-2026-2259301.jpg,La Liga 🇪🇸,RMC Sport Mercato,Ousmane Diomande,Real Madrid,RB Leipzig,140 millions,RUMEUR 📰,Neutre,lafindundesfeuilletonsdumercatoyandiomandéestbienenroutepour,La Liga 🇪🇸,Côte d'Ivoire 🇨🇮,140.0
