title,url,raw_date,published_at,language,summary,image_url,category,source,player_name,from_club,to_club,transfer_fee,status,sentiment,external_key,league,national_team,fee_numeric
"L'evoluzione dell'attacco: Giroud fino al 2025, David in estate, poi Colombo e il baby Camarda",https://www.gazzetta.it/Calcio/Serie-A/Milan/10-11-2023/milan-da-giroud-a-camarda-come-cambiera-l-attacco.shtml,"Fri, 10 Nov 2023 12:39:18 +0100",2026-08-08T23:56:01.224535,it,,https://www.gazzetta.it/methode_image/2023/11/10/Calcio/Foto_Calcio/c64aef5e-7fbd-11ee-b36d-b69ad55b9a90_800x450.jpg,Ligue 1 🇫🇷,Gazzetta dello Sport Mercato,Olivier Giroud,Los Angeles FC,,Non communiqué,RUMEUR 📰,Neutre,levoluzionedellattaccogiroudfinoal2025davidinestatepoicolomb,Ligue 1 🇫🇷,France 🇫🇷,0.0
"A Leeds lo chiamavano Pirlo, è il mediano giusto per Allegri: Juve, come gioca Phillips",https://www.gazzetta.it/Calcio/Calciomercato/Juventus/10-11-2023/calciomercato-juve-come-gioca-phillips-e-come-cambia-allegri-con-lui.shtml,"Fri, 10 Nov 2023 07:25:36 +0100",2026-08-08T23:56:01.224955,it,,https://www.gazzetta.it/methode_image/2023/11/10/Calcio/Foto_Calcio/f3ff4e26-7f91-11ee-b36d-b69ad55b9a90_800x450.jpg,Ligue 1 🇫🇷,Gazzetta dello Sport Mercato,Joueur Star,,Juventus,Non communiqué,RUMEUR 📰,Neutre,aleedslochiamavanopirloèilmedianogiustoperallegrijuvecomegio,Ligue 1 🇫🇷,International 🌍,0.0
"Real Madrid su Haaland? Parla Rafaela Pimenta, agente del giocatore",https://www.calciomercato.com/news/real-madrid-su-haaland-arriva-la-risposta-della-pimenta-54817/?intcmp=gazzanet-haaland,"Fri, 10 Nov 2023 07:18:48 +0100",2026-08-08T23:56:01.225157,it,,https://www.gazzetta.it/methode_image/2023/11/09/Calcio/Foto_Calcio_-_Trattate/c0244f1a-7f33-11ee-b519-de1931935e76_800x450.jpg,La Liga 🇪🇸,Gazzetta dello Sport Mercato,Erling Haaland,Manchester City,Real Madrid,Non communiqué,RUMEUR 📰,Neutre,realmadridsuhaalandparlarafaelapimentaagentedelgiocatore,La Liga 🇪🇸,Norvège 🇳🇴,0.0
"Manchester United, allarme Arabia: due centrocampisti nel mirino dei club sauditi",https://www.calciomercato.com/news/manchester-united-non-solo-casemiro-anche-il-capitano-nel-mirino-90766/?intcmp=gazzanet-manchester-united,"Fri, 10 Nov 2023 07:18:32 +0100",2026-08-08T23:56:01.225336,it,,https://www.gazzetta.it/methode_image/2023/11/09/Calcio/Foto_Calcio_-_Trattate/0e72bad0-7f34-11ee-b519-de1931935e76_800x450.jpg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Gazzetta dello Sport Mercato,Joueur Star,,Manchester United,Non communiqué,RUMEUR 📰,Neutre,manchesterunitedallarmearabiaduecentrocampistinelmirinodeicl,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Bruno Guimarães completes £75m Arsenal move: ‘I needed a new challenge’,https://www.theguardian.com/football/2026/aug/08/arsenal-transfer-bruno-guimaraes-newcastle-football,"Sat, 08 Aug 2026 11:00:48 GMT",2026-08-08T23:56:03.752866,en,Four-year deal signed after Newcastle’s reluctant sale‘I want to win trophies and I’m in the right place to do it’Bruno Guimarães says he “needed a new challenge in my life” after joining Arsenal from Newcastle for £75m and has targeted winning trophies. Guimarães is understood to have signed a four-year contract that contains a further one-year option after Newcastle reluctantly agreed to sell th,https://i.guim.co.uk/img/media/fa40be3ea3d1484aa696d71849024567dee05be6/94_723_5090_4069/master/5090.jpg?width=140&quality=85&auto=format&fit=max&s=c5d99e2effd5d85a4d87c646747348f9,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,The Guardian Transfers,Bruno Guimarães,Newcastle,Arsenal,Non communiqué,RUMEUR 📰,Bullish,brunoguimarãescompletes75marsenalmoveineededanewchallenge,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Brésil 🇧🇷,0.0
Liverpool agree to sign Barcelona’s Ronald Araújo on loan as Jacquet cover,https://www.theguardian.com/football/2026/aug/08/liverpool-barcelona-ronald-araujo-loan-football-transfer,"Sat, 08 Aug 2026 10:44:10 GMT",2026-08-08T23:56:03.753631,en,Andoni Iraola moves to improve defensive optionsUruguay defender expected to complete his medical Liverpool have agreed to sign Ronald Araújo on a season-long loan from Barcelona after Andoni Iraola was faced with lack of defensive options for the start of the new season.Concerns over Jérémy Jacquet – the France Under -21 defender who arrived last season for more than £50m – and injuries to Joe Go,https://i.guim.co.uk/img/media/ad0471493bd387560cfb329d0e984d9de2a71d53/292_0_1770_1416/master/1770.jpg?width=140&quality=85&auto=format&fit=max&s=751bd8f5593b6e354d8f6ded4255bc63,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,The Guardian Transfers,Ronald Araújo,FC Barcelone,Liverpool,loan,RUMEUR 📰,Neutre,liverpoolagreetosignbarcelonasronaldaraújoonloanasjacquetcov,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Uruguay 🇺🇾,0.0
Jay-Z’s Roc Nation Sports making waves in European football transfer market,https://www.theguardian.com/football/2026/aug/07/jay-z-roc-nation-sports-european-football-transfer-market-vinicius-junior-yan-diomande,"Fri, 07 Aug 2026 19:00:24 GMT",2026-08-08T23:56:03.758488,en,"Vinícius Júnior and Yan Diomande are among more than 100 players at an agency owned by the hip-hop legendIn the end there was a clear winner. And Jay-Z’s latest victory came only 24 hours after the first record featuring him actually rapping for four years had been released by his wife, Beyoncé, on an extended remix pack of Morning Dew (Donk).These days, the man who remains one of the most influen",https://i.guim.co.uk/img/media/241eae4079055f5c13928e3c6b5ce72cf82cdb3b/311_0_5899_4719/master/5899.jpg?width=140&quality=85&auto=format&fit=max&s=9bb9984e9c5288fd249c63325a0820c5,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,The Guardian Transfers,Ousmane Diomande,Sporting CP,,Non communiqué,RUMEUR 📰,Bullish,jayzsrocnationsportsmakingwavesineuropeanfootballtransfermar,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Côte d'Ivoire 🇨🇮,0.0
Manchester City reject Barcelona’s opening £38.5m bid for Rodri as talks continue,https://www.theguardian.com/football/2026/aug/07/manchester-city-reject-barcelonas-opening-385m-bid-for-rodri-as-talks-continue,"Fri, 07 Aug 2026 14:02:12 GMT",2026-08-08T23:56:03.783110,en,Mourinho reportedly unhappy over Barça hijackCity ready to seal deal for Morocco star BouaddiManchester City have rejected an offer of £38.5m (€45m) from Barcelona for Rodri and want at least £60m before allowing Spain’s World Cup-winning captain to depart.Barcelona have emerged as Rodri’s preferred destination after talks with Real Madrid broke down this week. It is understood that the 30-year-ol,https://i.guim.co.uk/img/media/c046fa94744fb731677f7e96e2787ba28899dbec/158_0_3451_2760/master/3451.jpg?width=140&quality=85&auto=format&fit=max&s=ad142f62bb63549ccd2828ad31bdf5db,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,The Guardian Transfers,José Mourinho,Manchester City,FC Barcelone,Non communiqué,NEGOCIATION 💬,Neutre,manchestercityrejectbarcelonasopening385mbidforrodriastalksc,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Portugal 🇵🇹,0.0
Tottenham and Atlético in talks over Romero with Van de Ven set to sign new deal,https://www.theguardian.com/football/2026/aug/07/tottenham-and-atletico-in-talks-over-romero-with-van-de-ven-set-to-sign-new-deal,"Fri, 07 Aug 2026 10:37:43 GMT",2026-08-08T23:56:03.784989,en,Simeone keen on move for Spurs defenderVan de Ven expected to pen five-year extensionTottenham are in talks with Atlético Madrid over the sale of Cristian Romero after categorically rejecting Arsenal’s approach for the Argentina defender and are expected to agree a new five-year deal with Micky van de Ven.Romero has made no secret of his desire to leave Spurs despite signing a new four-year contra,https://i.guim.co.uk/img/media/c772102745e2f6cd0f04d6d0e72dc28851c9df48/925_169_2944_2355/master/2944.jpg?width=140&quality=85&auto=format&fit=max&s=90bc2a39b475a9e0d0add2975c825686,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,The Guardian Transfers,Diego Simeone,Atlético de Madrid,Tottenham,Non communiqué,NEGOCIATION 💬,Neutre,tottenhamandatléticointalksoverromerowithvandevensettosignne,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Argentine 🇦🇷,0.0
Football transfer rumours: Cristian Romero to leave Spurs for … Arsenal?,https://www.theguardian.com/football/2026/aug/07/football-transfer-rumours-cristian-romero-spurs-arsenal-atletico-inter,"Fri, 07 Aug 2026 09:32:37 GMT",2026-08-08T23:56:03.811332,en,"Today’s rumours wonder what it’s got to do with AberdeenTwenty-five years after Sol Campbell’s move from White Hart Lane to Highbury, are we finally getting a sequel? Cristian Romero, Tottenham’s captain, has piqued Arsenal’s interest, the Athletic reports, though they also reckon it’s pretty unlikely that Spurs will allow such drama. D’oh. It would bring some tantalising chaos to this transfer wi",https://i.guim.co.uk/img/media/7cb98cf6499084a655ea4f12f252b7241ec2107f/453_88_1187_949/master/1187.jpg?width=140&quality=85&auto=format&fit=max&s=5f66cfa541d81b6fb6d3709a7aa9abea,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,The Guardian Transfers,Cristian Romero,Tottenham,Arsenal,Non communiqué,RUMEUR 📰,Neutre,footballtransferrumourscristianromerotoleavespursforarsenal,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
